2025-09-05 14:55:05 [WARN] | data already found in 073/traces/obs/*, skipping data preparation
2025-09-05 15:42:42 [DEBU] | AA.S000101..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000040..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000276..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000021..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000056..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000073..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000288..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000272..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000204..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000256..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000051..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000168..PRE
2025-09-05 15:42:42 [INFO] | PREPROCESSING AA.S000379..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000005..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000273..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000060..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000172..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000344..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000057..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000262..PRE misfit=6.469E+00
2025-09-05 15:42:42 [DEBU] | AA.S000303..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000155..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000213..PRE misfit=6.469E+00
2025-09-05 15:42:42 [DEBU] | AA.S000146..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000293..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000128..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000150..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000135..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000087..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000184..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000169..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000120..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000187..PRE misfit=6.469E+00
2025-09-05 15:42:42 [INFO] | PREPROCESSING AA.S000176..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000339..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000137..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000247..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000152..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000289..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000237..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000170..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000119..PRE
