2025-09-07 01:10:06 [DEBU] | solver parameters to be updated are: ['vp']
2025-09-07 01:11:16 [DEBU] | running task id 95
2025-09-07 01:11:16 [DEBU] | running task id 96
2025-09-07 01:11:16 [DEBU] | running task id 97
2025-09-07 01:11:16 [DEBU] | running task id 98
2025-09-07 01:11:16 [DEBU] | running task id 99
2025-09-07 01:40:33 [DEBU] | checkpointing workflow to seisflows state file
2025-09-07 01:40:33 [INFO] | 
////////////////////////////////////////////////////////////////////////////////
                            EVALUATE INITIAL MISFIT                             
////////////////////////////////////////////////////////////////////////////////
2025-09-07 01:40:33 [INFO] | evaluating misfit for model in `path_model_init`
2025-09-07 01:40:33 [INFO] | checking model parameters:
2025-09-07 01:40:33 [INFO] | vp: min=4000.000; mean=4000.000; max=4000.000
2025-09-07 01:40:33 [INFO] | running functions ['prepare_data_for_solver', 'run_forward_simulations', 'evaluate_objective_function'] on system 100 times
2025-09-07 01:40:33 [DEBU] |  /csim2/lty_zcg/Program_study/seisflows_study/seisflows/seisflows/system/runscripts/run --funcs /csim2/lty_zcg/Program_study/seisflows_study/09_test_create_model/scratch_acoustic/scratch/system/prepare_data_for_solver_run_forward_simulations_evaluate_objective_function.p --kwargs /csim2/lty_zcg/Program_study/seisflows_study/09_test_create_model/scratch_acoustic/scratch/system/prepare_data_for_solver_run_forward_simulations_evaluate_objective_function_kwargs.p --environment SEISFLOWS_TASKID={task_id},
2025-09-07 01:40:33 [DEBU] | running task id 0
2025-09-07 01:40:33 [DEBU] | running task id 1
2025-09-07 01:40:33 [DEBU] | running task id 2
2025-09-07 01:40:33 [DEBU] | running task id 3
2025-09-07 01:40:33 [DEBU] | running task id 4
2025-09-07 01:40:33 [DEBU] | running task id 5
2025-09-07 01:40:33 [DEBU] | running task id 6
2025-09-07 01:40:33 [DEBU] | running task id 7
2025-09-07 01:40:33 [DEBU] | running task id 8
2025-09-07 01:40:33 [DEBU] | running task id 9
2025-09-07 01:40:33 [DEBU] | running task id 10
2025-09-07 01:40:33 [DEBU] | running task id 11
2025-09-07 01:40:33 [DEBU] | running task id 12
2025-09-07 01:40:33 [DEBU] | running task id 13
2025-09-07 01:40:33 [DEBU] | running task id 14
2025-09-07 01:40:33 [DEBU] | running task id 15
2025-09-07 01:40:33 [DEBU] | running task id 16
2025-09-07 01:40:33 [DEBU] | running task id 17
2025-09-07 01:40:33 [DEBU] | running task id 18
2025-09-07 01:40:33 [DEBU] | running task id 19
2025-09-07 01:40:33 [DEBU] | running task id 20
2025-09-07 01:40:33 [DEBU] | running task id 21
2025-09-07 01:40:33 [DEBU] | running task id 24
2025-09-07 01:40:33 [DEBU] | running task id 22
2025-09-07 01:40:33 [DEBU] | running task id 25
2025-09-07 01:40:33 [DEBU] | running task id 23
2025-09-07 01:40:33 [DEBU] | running task id 26
2025-09-07 01:40:33 [DEBU] | running task id 27
2025-09-07 01:40:33 [DEBU] | running task id 28
2025-09-07 01:40:33 [DEBU] | running task id 29
2025-09-07 01:40:33 [DEBU] | running task id 30
2025-09-07 01:40:33 [DEBU] | running task id 31
2025-09-07 01:40:33 [DEBU] | running task id 32
